АЗС_CODE,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,01.08.23,23,2986.63
Z313,01.08.23,24,1988.85
Z313,01.08.24,1,2771.33
Z313,01.08.24,2,1867.9
Z313,01.08.24,3,588.59
Z313,01.08.24,4,627.5
Z313,01.08.24,5,197.6
Z313,01.08.24,6,551.2
Z313,01.08.24,7,636.05
Z313,01.08.24,8,2164.73
Z313,01.08.24,9,2777.54
Z313,01.08.24,10,3346.43
Z313,01.08.24,11,4092.35
Z313,01.08.24,12,3749.95
Z313,01.08.24,13,3595.22
Z313,01.08.24,14,3561.42
Z313,01.08.24,15,4048.3
Z313,01.08.24,16,3642.35
Z313,01.08.24,17,4166.48
Z313,01.08.24,18,3971.56
Z313,01.08.24,19,3615.59
Z313,01.08.24,20,3966.34
Z313,01.08.24,21,3991.76
Z313,01.08.24,22,3903.2
Z313,01.08.24,23,4024.86
Z313,01.08.24,24,3370.57
Z313,01.09.23,1,1914.57
Z313,01.09.23,2,949.93
Z313,01.09.23,3,715.45
Z313,01.09.23,4,281.91
Z313,01.09.23,5,252.38
Z313,01.09.23,6,213.71
Z313,01.09.23,7,804.24
Z313,01.09.23,8,1602.76
Z313,01.09.23,9,2591.91
Z313,01.09.23,10,3707.23
Z313,01.09.23,11,3379.45
Z313,01.09.23,12,3157.83
Z313,01.09.23,13,2761.86
Z313,01.09.23,14,3269.89
Z313,01.09.23,15,2990.48
Z313,01.09.23,16,3358.74
Z313,01.09.23,17,3649.45
Z313,01.09.23,18,3622.45
Z313,01.09.23,19,3483.21
Z313,01.09.23,20,3456.74
Z313,01.09.23,21,3052.8
Z313,01.09.23,22,3112.67
Z313,01.09.23,23,2894.73
Z313,01.09.23,24,2596.92
Z313,01.10.22,1,1880.17
Z313,01.10.22,2,1142.07
Z313,01.10.22,3,529.49
Z313,01.10.22,4,496.93
Z313,01.10.22,5,77.45
Z313,01.10.22,6,239.31
Z313,01.10.22,7,299.27
Z313,01.10.22,8,1194.92
Z313,01.10.22,9,1408.47
Z313,01.10.22,10,2566.1
Z313,01.10.22,11,3389.83
Z313,01.10.22,12,3336.48
Z313,01.10.22,13,3288.11
Z313,01.10.22,14,3106.41
Z313,01.10.22,15,3851.93
Z313,01.10.22,16,3235.04
Z313,01.10.22,17,3741.79
Z313,01.10.22,18,3600.65
Z313,01.10.22,19,3428.4
Z313,01.10.22,20,3703.53
Z313,01.10.22,21,2813.77
Z313,01.10.22,22,2128.05
Z313,01.10.22,23,2052.45
Z313,01.10.22,24,1326.36
Z313,01.10.23,1,2478.69
Z313,01.10.23,2,1542.62
Z313,01.10.23,3,1073.44
Z313,01.10.23,4,516.12
Z313,01.10.23,5,287.16
Z313,01.10.23,6,173.41
Z313,01.10.23,7,346.35
Z313,01.10.23,8,869.07
Z313,01.10.23,9,1286.98
Z313,01.10.23,10,2027.15
Z313,01.10.23,11,2664.03
Z313,01.10.23,12,2783.22
Z313,01.10.23,13,3465.45
Z313,01.10.23,14,3522.56
Z313,01.10.23,15,3093.45
Z313,01.10.23,16,3212.15
Z313,01.10.23,17,3515.25
Z313,01.10.23,18,3549.48
Z313,01.10.23,19,3233.62
Z313,01.10.23,20,3066.24
Z313,01.10.23,21,3088.35
Z313,01.10.23,22,3043.66
Z313,01.10.23,23,3092.83
Z313,01.10.23,24,2054.24
Z313,01.11.22,1,1212.4
Z313,01.11.22,2,179.65
Z313,01.11.22,3,262.91
Z313,01.11.22,4,233.3
Z313,01.11.22,5,124.16
Z313,01.11.22,6,120.21
Z313,01.11.22,7,335.8
Z313,01.11.22,8,1072.09
Z313,01.11.22,9,2927.52
Z313,01.11.22,10,2211.31
Z313,01.11.22,11,2990.14
Z313,01.11.22,12,2648.3
Z313,01.11.22,13,2516.56
Z313,01.11.22,14,2846.1
Z313,01.11.22,15,2737.48
Z313,01.11.22,16,2914.76
Z313,01.11.22,17,3387.34
Z313,01.11.22,18,2827.17
Z313,01.11.22,19,3538.53
Z313,01.11.22,20,3517.78
Z313,01.11.22,21,3186.22
Z313,01.11.22,22,3081.09
Z313,01.11.22,23,3037.03
Z313,01.11.22,24,1853.91
Z313,01.11.23,1,2163
Z313,01.11.23,2,1721.36
Z313,01.11.23,3,676.67
Z313,01.11.23,4,295.85
Z313,01.11.23,5,563.02
Z313,01.11.23,6,210.46
Z313,01.11.23,7,722.49
Z313,01.11.23,8,1870.7
Z313,01.11.23,9,2996.24
Z313,01.11.23,10,3088.19
Z313,01.11.23,11,2934.91
Z313,01.11.23,12,3571.23
Z313,01.11.23,13,2703.89
Z313,01.11.23,14,3234.97
Z313,01.11.23,15,3219.5
Z313,01.11.23,16,3634.24
Z313,01.11.23,17,3668.41
Z313,01.11.23,18,3420.94
Z313,01.11.23,19,3080.53
Z313,01.11.23,20,3258.69
Z313,01.11.23,21,2478.74
Z313,01.11.23,22,2788.86
Z313,01.11.23,23,3104.3
Z313,01.11.23,24,2240.31
Z313,01.12.22,1,1971.82
Z313,01.12.22,2,1175.5
Z313,01.12.22,3,786.35
Z313,01.12.22,4,354.82
Z313,01.12.22,5,135.17
Z313,01.12.22,6,261.05
Z313,01.12.22,7,697.98
Z313,01.12.22,8,1818.35
Z313,01.12.22,9,3287.89
Z313,01.12.22,10,3290.76
Z313,01.12.22,11,3317.03
Z313,01.12.22,12,3157.76
Z313,01.12.22,13,3097.57
Z313,01.12.22,14,2959.76
Z313,01.12.22,15,3378.77
Z313,01.12.22,16,3217.81
Z313,01.12.22,17,3873.75
Z313,01.12.22,18,3820.65
Z313,01.12.22,19,3283.92
Z313,01.12.22,20,3528.29
Z313,01.12.22,21,3195.92
Z313,01.12.22,22,3626.57
Z313,01.12.22,23,4157.41
Z313,01.12.22,24,2846.6
Z313,01.12.23,1,2464.05
